1,洋服のサイズ,
2,XXS以下,1
3,XS(SS),1
4,S,1
5,M,1
6,L,1
7,XL(LL),1
8,2XL(3L),1
9,3XL(4L),1
10,4XL(5L)以上,1
11,FREE SIZE,1
12,レディース靴のサイズ,
13,20cm以下,12
14,20.5cm,12
15,21cm,12
16,21.5cm,12
17,22cm,12
18,22.5cm,12
19,23cm,12
20,23.5cm,12
21,24cm,12
22,24.5cm,12
23,25cm,12
24,25.5cm,12
25,26cm,12
26,26.5cm,12
27,27cm,12
28,27.5cm以上,12
29,メンズ靴のサイズ,
30,23.5cm以下,29
31,24cm,29
32,24.5cm,29
33,25cm,29
34,25.5cm,29
35,26cm,29
36,26.5cm,29
37,27cm,29
38,27.5cm,29
39,28cm,29
40,28.5cm,29
41,29cm,29
42,29.5cm,29
43,30cm,29
44,30.5cm,29
45,31cm以上,29
46,ベビー服のサイズ,
47,60cm,46
48,70cm,46
49,80cm,46
50,90cm,46
51,95cm以上,46
52,キッズ服のサイズ,
53,100cm,52
54,110cm,52
55,120cm,52
56,130cm,52
57,140cm,52
58,150cm,52
59,160cm,52
60,キッズ靴のサイズ,
61,10.5cm以下,60
62,11cm・11.5cm,60
63,12cm・12.5cm,60
64,13cm・13.5cm,60
65,14cm・14.5cm,60
66,15cm・15.5cm,60
67,16cm・16.5cm,60
68,17cm以上,60